"j_nr";"report_id";"accounts_expenses_fee_total";"accounts_expenses_accommodation";"accounts_expenses_meals";"accounts_expenses_pr";"accounts_expenses_backline";"accounts_expenses_local_transport";"accounts_expenses_international_transport";"accounts_expenses_other";"accounts_expenses_total";"accounts_income_fee_total";"accounts_income_grants";"accounts_income_funds";"accounts_income_merchandise";"accounts_income_own_contribution";"accounts_income_other";"accounts_income_estimated_total";"accounts_result";"accounts_comments";"evaluation_further_opportunities";"evaluation_artistic_development";"evaluation_satisfaction"
"R-2024-0129";"R-2024-0129-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ved ikke";"I høj grad";"I meget høj grad"
"R-2024-0139";"R-2024-0139-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"Ved ikke";"Slet ikke"
"R-2024-0140";"R-2024-0140-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"Ved ikke";"I høj grad"
"R-2024-0141";"R-2024-0141-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"T-2023-0028";"T-2023-0028-RE1";40000;0;24000;0;0;0;0;0;64000;27617;20000;0;0;0;0;47617;16383;"Jeg har valgt ikke at udspecificere regnskabet yderligere eller uploade flere kvitteringer end der dækker de bevilligede 5000 dkr.  Der er rigeligt af udgifter til turen og jeg formoder det er tilstrækkeligt dokumentation med det vedhæftede. ";"I høj grad";"I høj grad";"Ved ikke"
"T-2023-0030";"T-2023-0030-RE1";14310;1010;50000;0;834;3370;0;0;69524;44530;10000;0;2300;12694;0;69524;0;"-";"I høj grad";"I meget høj grad";"I høj grad"
"T-2023-0042";"T-2023-0042-RE1";367949;7000;8000;15000;0;6000;108170;37000;549119;422886;0;96000;30000;0;0;548886;233;"Fondsbevillinger dækker over:  EU Fond: 71.000 DKK  DMF: 6000 DKK  TEMPI 1: 7000 DKK  Tempi 2 (Denne bevilling): 12.000 DKK   Andet i udgifter dækker over:  Car maintenance, bus tickets, brobizz, SIM cards etc: 18000 DKK Merch production expenses: 19.000 DKK ";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0043";"T-2023-0043-RE1";9040;1883;0;5007;4779;0;0;0;20709;0;5000;0;120;15589;0;20709;0;"Vi vandt 2. Præmien! Tak for støtten :)";"I høj grad";"I meget høj grad";"I meget høj grad"
"T-2023-0046";"T-2023-0046-RE1";52288;4837;0;0;0;0;43070;0;100195;72356;0;25000;2839;0;0;100195;0;"15.000kr fra musikpuljen i Aarhus";"I meget høj grad";"I høj grad";"Ved ikke"
"T-2023-0051";"T-2023-0051-RE1";23920;2500;0;0;0;0;6922;0;33342;23920;0;0;0;0;2500;26420;6922;"Indtægt:  Andet: Hotel Buyout -  tilskud fra Turkis";"I høj grad";"I høj grad";"I høj grad"
