"j_nr";"report_id";"accounts_expenses_fee_total";"accounts_expenses_accommodation";"accounts_expenses_meals";"accounts_expenses_pr";"accounts_expenses_backline";"accounts_expenses_local_transport";"accounts_expenses_international_transport";"accounts_expenses_other";"accounts_expenses_total";"accounts_income_fee_total";"accounts_income_grants";"accounts_income_funds";"accounts_income_merchandise";"accounts_income_own_contribution";"accounts_income_other";"accounts_income_estimated_total";"accounts_result";"accounts_comments";"evaluation_further_opportunities";"evaluation_artistic_development";"evaluation_satisfaction"
"A-2023-0019";"A-2023-0019-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fund grants: Statens Kunstfonden DUKE Other: internal ensemble fee (30.000 dkk)  Rental of concert space (10 000 dkk) Miscellaeous (4635 dkk)";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0054";"A-2023-0054-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Som tak for kost, logi og ro på orkesterefterskolen til udarbejdelse af Sofie Meyers nye værk for os, lavede vi til gengæld en workshop og spillede en koncert.   De internationale transportomkostninger blev noget dyrere end først antaget.   De vedhæftede billetter er i euro og prisen er omregnet til dkk. ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0059";"A-2023-0059-RE1";712;200;4200;4328;2300;0;0;0;11740;4200;0;0;0;0;0;4200;7540;"Kunne desværre ikke kombinere PDFerne i én samlet . men der er kun 2 - håber det går :-)";"Ved ikke";"I høj grad";"Ved ikke"
"A-2023-0064";"A-2023-0064-RE1";19735;0;266941;32424;14150;15000;0;25750;374000;24000;0;350000;0;0;0;374000;0;"Fondsbevillinger: Andre fonde AP Møller Fonde 50.000 Augustinus Fonden 50.000 Brebøl Fonden 50.000 Axel Muusfeldts Fond 50.000 Hoffman & Husmans Fond 50.000 Statens Kunstfond 30.000 Knud Højgaards Fond 35.000 Wilhelm Hansen Fonden 25.000 Solistforeningen 10.000  Andet: Leje af koncertsteder Musikhuset Købenahvn og KoncertKirken KODA rettigheder";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0069";"A-2023-0069-RE1";0;0;0;0;0;2000;30520;0;32520;1e+05;0;0;0;0;0;1e+05;-67480;"lokal transport: benzin, tog billet: kobenhavn,svendborg,aarhus til aalborg   Christa danielsen: klarinettist Maria Pearl Weise: Danser Lucas Kruse Kristiansen: Danser amir mahyar tafreshipour: komponist ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0073";"A-2023-0073-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"FONDSBEVILIINGER: Knud Højgaards Fond William Demant Fonden Augustinus Fonden Beckett-Fonden Solistforeningen af 1921 Politiken Fonden Kvinder i Musik (specifik til videodokumentation) Hoffmann & Husmans Fond Dansk Skuespillerfond - produktionsstøtte  ANDET - indtægter: Moms til agents provision  ANDET - udgifter: Administration - herunder producent, fundraiser og agent Grafiker Oversættere (fire sprog) Filmfotograf Produktionsomkostninger - herunder køb af div til værkerne (bolde, lys etc)    ";"Ved ikke";"I høj grad";"I høj grad"
"A-2023-0076";"A-2023-0076-RE1";0;1000;500;0;0;60;2500;0;4060;1200;0;0;0;0;1200;2400;1660;"Bilag for flybillet og flybus til/fra lufthavn Reykjavik ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0081";"A-2023-0081-RE1";8252;2100;5000;3500;0;0;0;0;18852;9000;0;0;0;2000;5000;16000;2852;"-";"I meget høj grad";"I høj grad";"I meget høj grad"
"A-2023-0082";"A-2023-0082-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger - støtte fra Region Halland, til vores residency i forbindelsen med koncerterne i London.  Vores ansøgning var oprindelig til at spille på Cafe Oto, plus en koncert i Bristol og en i Manchester. Det endt med at vores koncert i Manchester blev udskudt til Februar 2024. Så tog vi beslutningen til at spille på NTS Radio i London i stedet for Bristol, hvor vi kunne nå en større publikum i gennem NTSs udsendelse.   Fordi vi blev i London, så var vores udgifter mindre, og så skulle vi ikke bruge så meget fra Region Halland's fond.";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0084";"A-2023-0084-RE1";15000;0;3885;0;0;0;1910;0;20795;0;0;15000;0;3885;0;18885;1910;"En uge før projektets start skete der desværre et uheld i Rasmus familie, der gjorde at han ikke kunne deltage i projektet. Efter aftale med Thinh fra Art Music Denmark ville vi gennemføre projektet uden Rasmus, da det ellers ville skubbe alle deadlines for det samlede projektet og dermed influere de kommende værker. Derfor er punktet for overnatning slettet, da vi aflyste hotellet og Sanna i stedet overnattede hos Oskar under projekts forløb. Det er dermed kun Sannas flybillet, vi ønsker refunderet.   Fondsbevillinger: Sanna Blennows honorarer for at deltage er støttet af Kodas Vækstlagspulje Egenfinansiering: Går til forplejning";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0088";"A-2023-0088-RE1";8944;600;0;1760;3000;0;0;0;14304;5000;6000;0;1000;9000;0;21000;-6696;"-";"I meget høj grad";"I meget høj grad";"Ved ikke"
"A-2023-0089";"A-2023-0089-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0093";"A-2023-0093-RE1";7432;0;1558;0;0;68;5006;0;14064;7432;0;0;0;540;0;7972;6092;"-";"Ved ikke";"I meget høj grad";"Slet ikke"
"A-2023-0094";"A-2023-0094-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"There were more expenses that initially planned (16.241kr) but that was personally financed. The Udgifter skabelon does not seem to update...";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0100";"A-2023-0100-RE1";2521;0;0;0;0;0;0;0;2521;0;0;0;0;0;0;0;2521;"-";"I meget høj grad";"I meget høj grad";"I mindre grad"
"A-2023-0101";"A-2023-0101-RE1";0;0;0;0;0;0;3254;0;3254;11666;3000;0;0;0;0;14666;-11412;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0103";"A-2023-0103-RE1";55000;0;0;0;6000;0;2352;15042;78394;0;0;75000;0;0;0;75000;3394;"Den økonomi, der redegøres for her, handler alene om lydkunstdelen af den samlede installation.  Indtægter / Fondsbevillinger: Koda, 25.000 dkr, bevilliget som underskudsgaranti Knud Højgaards fond, 50.000 IALT 75.000   Udgifter: Honorar Jens Settergren, 26.000 Honorar Astrid Sonne, 26.000 Honorar sangere, 3.000 Studioudgifter, 6.000 Indkøb af højttalere, computer til afvikling og andet teknisk udstyr, 14.434 Transport af teknisk udstyr, 608 Flyrejse Astrid Sonne, 2.352 IALT 78.394";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0104";"A-2023-0104-RE1";4500;0;0;0;0;0;1919;0;6419;4500;0;0;0;0;0;4500;1919;"-";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0105";"A-2023-0105-RE1";37500;14250;0;4000;5500;0;12441;14250;87941;25000;0;38900;0;6041;18000;87941;0;"Fondsbevillinger er inkl. transportstøtte.  Udgifter under andet: Salsleje x3 & Lydteknikere";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0107";"A-2023-0107-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dansk Komponistforening (koncertproduktion og formidling)  Den Obelske Familiefond  William Demant Fonden  Art Music Denmark  Augustinus Fonden  Kulturhus Kappelborg  UMMK Region Nordjylland  Aage og Johanne Louis-Hansens Fond  Dansk Tennis Fond  SE PACKING SYSTEM   Andre udgifter: Udgifter Masterclass 40.000 Skagens Kunstmuseer 6.000 Øvrige projektudgifter 4.428 Afvikling af koncert Kulturhus Kappelborg 5.494 ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0109";"A-2023-0109-RE1";0;0;2000;0;0;0;4680;0;6680;17500;0;3000;0;3680;0;24180;-17500;"De 3000 kr. i fondsbevillinger dækker over Art Music Denmarks bidrag til transportudgifter.";"I meget høj grad";"I høj grad";"I høj grad"
"A-2023-0111";"A-2023-0111-RE1";0;0;0;0;0;0;1720;0;1720;6500;0;0;0;0;0;6500;-4780;"- Min rejse blev endret fra tur/retur Aarhus til afrejse fra Kolding og hjemrejse til Bornholm.   - Det blev kørt bil fra Düsseldorf-Sassnitz, hvilket har blivet dækket af projektet og er derfor ikke med i dette budget.   - I vedhæftet bilag findes der billetter i norske kroner samt i euro, dette er omregnet til danske kroner. ";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0112";"A-2023-0112-RE1";0;0;0;0;0;0;3189;0;3189;0;0;0;0;0;0;0;3189;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0113";"A-2023-0113-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andet: Honarer til de arrangerende kustnerer";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0114";"A-2023-0114-RE1";3609;150;0;0;1000;0;0;0;4759;3700;0;0;0;0;0;3700;1059;"-";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0115";"A-2023-0115-RE1";0;3200;2000;0;0;0;769;562;6531;0;0;4500;0;0;0;4500;2031;"Desværre blev hele to medlemmer af Bureauet forhindret i at deltage, det gjorde vi var nød til at annullere både planlagt transport og logi - heldigt for regnskabet fandt jeg billigere løsninger :)";"I meget høj grad";"I meget høj grad";"Ved ikke"
"A-2023-0117";"A-2023-0117-RE1";2262;975;0;0;1718;0;0;0;4955;0;0;0;0;0;0;0;4955;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0118";"A-2023-0118-RE1";0;0;0;0;0;0;6703;0;6703;5728;0;0;0;0;0;5728;975;"Den første flybillet er købt i Island i Maj måned, da jeg var i Island på det tidspunkt. Derfor giver jeg kun op halvdelen af den første flybillet beløb - dvs. 2779,95/2 = 1389.";"I meget høj grad";"I høj grad";"I meget høj grad"
"A-2023-0119";"A-2023-0119-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0123";"A-2023-0123-RE1";32000;16000;0;750;2350;3900;4668;95900;155568;0;0;59668;0;95900;0;155568;0;"Fondsbevillinger: Statens Kunstfond - Internationale besøgsprogrammer og netværksaktiviteter   35.000,00 kr Art Music Danmark - International Transport	  4.668,41 kr Sonning-Fonden   20.000,00 kr I ALT = 59.668,41  Vederlagsfrie bidrag: Frivillige arbejdstimer - TERRAFORM   52.500,00 kr Overnatning, arbejdstimer, faciliteter - SOUND ART LAB   43.400,00 kr I ALT = 95.900,00 kr  Udgifter international transport Melissa Van Drie: 3.138,14 kr > hvoraf dækket: 3.000,00 kr Udgifter international transport Sarah Sikorie: 1.668,41 kr  Der blev foretaget en datoændring i den første flybillet, siden der var sket en misforståelse mht. residenciets startdato. Melissa Van Drie deltog i projektet fra den 10.07.-07.08.2023";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0124";"A-2023-0124-RE1";32000;16000;0;750;2350;3900;4668;95900;155568;0;0;59668;0;95900;0;155568;0;"Fondsbevillinger: Statens Kunstfond - Internationale besøgsprogrammer og netværksaktiviteter   35.000,00 kr Art Music Danmark - International Transport	  4.668,41 kr Sonning-Fonden   20.000,00 kr I ALT = 59.668,41  Vederlagsfrie bidrag: Frivillige arbejdstimer - TERRAFORM   52.500,00 kr Overnatning, arbejdstimer, faciliteter - SOUND ART LAB   43.400,00 kr I ALT = 95.900,00 kr  Udgifter international transport Sarah Sikorie: 1.668,41 kr Udgifter international transport Melissa Van Drie: 3.138,14 kr > hvoraf dækket: 3.000,00 kr  Færgebillet København - Oslo er for to personer. Kunstneren fulgtes af en ven og det er fordelagtigt at booke sammen. Udgiften er angivet som 50% af billettens pris, dvs. for en person.";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0131";"A-2023-0131-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Udgifterne er lidt mindre end forventet (1881.04 i stedet for 2.500)";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0132";"A-2023-0132-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andet indbefatter øvelokale, teknisk og praktisk personale. ";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0134";"A-2023-0134-RE1";0;0;0;0;0;0;5584;0;5584;23500;0;0;0;0;0;23500;-17916;"I stedet for at leje bil har vi taget toget og transporteret scenografien i tog og taxa. ";"I mindre grad";"I høj grad";"I høj grad"
"A-2023-0137";"A-2023-0137-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Diæter (forplejning) er ikke udbetalt endnu, vi afventer sikkerhed med egen finasiering.  Posten ""andet"" består af honorar til kasserer.";"I meget høj grad";"I høj grad";"I høj grad"
"A-2023-0138";"A-2023-0138-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0140";"A-2023-0140-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0141";"A-2023-0141-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Indtægter  Fondsbevillinger: Axel Muusfeldts Fond: 100.000 Augustinus Fonden: 70.000 Beckett Fonden: 60.000 Hoffmann og Husmans Fond: 50.000 William Demant Fonden: 30.000 Art Music Denmark: 20.000 Nordea Fonden: 40.000 Knud Højgaards Fond: 40.000 Statens Kunstfond: 30.000 Solistforeningen af 1921: 10.000 KODA Projektpuljen: 50.000 Københavns Kommunes Musikudvalg: 15.000 Andet: Udsendelsesrettigheder fra DR P2: 7.500  Udgifter Andet: Bankudgifter: 2.690,01 Hjemmeside udgifter: 2.678,43 KODA rettigheder og noder: 4.053,22 Leje af prøve- og koncertsal: 73.562,50";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0142";"A-2023-0142-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ingen andre fonde ansøgt eller benyttet. Ingen yderligere udgifter under ""andet"".";"I meget høj grad";"I høj grad";"I høj grad"
"A-2023-0143";"A-2023-0143-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andet: leje af trailer til bil";"I høj grad";"I høj grad";"Ved ikke"
"A-2023-0145";"A-2023-0145-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger henviser til de 12 000,- bevilget fra Art Music Denmark, og indregnet en dækning på 10 766,- for de reelle udgifter til lokal og international transport. Andet henviser til udgifter til visum, vacciner, forsikring mm.";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0146";"A-2023-0146-RE1";0;2243;1500;0;0;0;1629;0;5372;0;0;0;0;0;0;0;5372;"-";"I høj grad";"I høj grad";"I meget høj grad"
"A-2023-0147";"A-2023-0147-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Egenfinansiering fra Ensemble Storstrøm i form af delvis finansiering af flybilletter samt finansiering fra NCPA Mumbai af alle udgifter til hotel for alle medvirkende samt al transport i Indien og delvis forplejning. Hertil dirigenthonorar.";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0149";"A-2023-0149-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0150";"A-2023-0150-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0153";"A-2023-0153-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fund grants, Others, Funds allocations   TOTAL: 224 000 DKK   DUKE    135 000 DKK (80 000 DKK confirmed + 55 000 DKK added after DKF and GRAMEX application rejection) ENSEMBLE MODERN 54 000 DKK confirmed DKF ensemble support 35 000 DKK confirmed  Travel expenses to be covered by Art Music Denmark: 13428,20 DKK  Van renting      6,953.14 kr.		receipt 24.25 Aral Station     879.16 kr.		receipt 24.36  (gas) Aral Station     946.77 kr.		receipt 24.41  (gas) Q8 Denmark.   753.46 kr.		receipt 24.42 (gas) Van extra KM  52.50 kr.		receipt 24.43  Ferry		      1,619.95 kr.		receipt 24.31 KLM		      1,013.00 kr.		receipt 24.3   (flight Mikael Tobias) SAS		       619.00 kr.		receipt 24.4    (flight Mikael Tobias) Miles		       200.65 kr.		receipt 24.14   (transport material Hamburg) Share now	      146.18 kr.		receipt 24.15  (transport material Hamburg) Share now	      152.89 kr.		receipt 24.16  (transport material Hamburg) Share now	      91.50 kr.		receipt 24.17. (transport material Hamburg)  ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0154";"A-2023-0154-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I feltet "" International transport inkl. lokal transport i udlandet"" er alene  udgifter til flybilletter påført, da beløbet for disse (23.997 kr)  allerede overstiger det bevilgede beløb. Udgifter til UBER og Amtrak m.m.  er skrevet på som ""Andet""";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0155";"A-2023-0155-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"Ved ikke";"I høj grad"
"A-2023-0157";"A-2023-0157-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger: Rejselegat Dansk Komponistforening/KODA Andet: Rejseforsikring";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0158";"A-2023-0158-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0160";"A-2023-0160-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ingen anden støtte til projektet";"I mindre grad";"I høj grad";"I høj grad"
"A-2023-0162";"A-2023-0162-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger:Det islandske kulturministerium (25000),AMD(5000),Ylir, fond for unge musikere(10000)  Andet:Indtægter står for: billetsalg på 11.700 Andet: Udgifter står for :Leje af sal (17375), Administration(8141), Rettigheder(STEF,496)CO2 neutralisering (565)";"I meget høj grad";"I meget høj grad";"Ved ikke"
"A-2023-0163";"A-2023-0163-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"Ved ikke"
"A-2023-0164";"A-2023-0164-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dette er regnskab for samlet produktion 2023+2024 og med mere overblik over egentlige udgifter, end jeg havde i august.  ""Andet"" er ift. produktionen af installation i Gävle til juni 2024: 20.000 kr. til uforudsete udgifter 30.000 kr. til gear/assistance/forsikring m.v. - vi afventer stadig en del info. 10.000 kr. til forventet transport i 2024  ""Samlet honorar"" på 240.000 kr. dækker over følgende: 60.000 kr. for at komponere værket i 2023 til komponist Lil Lacy fra Gävle Symfoniokrester 80.000 kr. for musiker- og dirigent-honrar til indspilningstid dækket af Gävle Symfoniorkester 30.000 kr. for projektledelse, mix m.v. til komponist Lil Lacy for perioden 2023-2024 70.000 kr. til lydproducent Preben Iwan for indspilning, mix og master i hhv. spatial, dolby atmos og stereo mix    OBS: International transportstøtte på 7.744 kr. gælder KUN for september 2023 (som jeg har søgt og afrapporterer nu). Jeg vil gerne søge om international transportstøtte til i 2024 for projektet i 2024.  ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0165";"A-2023-0165-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Udgift til prøveforløb dækket af fondsmidler: 12.000 kr. ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0166";"A-2023-0166-RE1";0;0;0;0;0;0;14702;0;14702;12536;0;0;0;0;0;12536;2166;"Honorarbeløbet 3.134 DKK, som er angivet under koncerterne#1,2,3, er 5.000 SEK omregnet. I alt landede det individuelle musikerhonorar på 10.000 SEK";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0169";"A-2023-0169-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Det har ikke været muligt at gemme/indhente kvitteringer for lokal transport, så vi har valgt at efterlade posten på 0.  Overnatning og leje af ekstra udstyr er på 0, fordi vi har trukket vores netværk af frivillige tjenester, for at holde udgifterne nede.";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0171";"A-2023-0171-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Leje af percussion (1000kr) og kassevogn (1000kr) i Aarhus ifb med percussionist Moran le Bars fra Belgien som kom i tog men kunne ikke have så mange instrumenter med.";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0173";"A-2023-0173-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"The Honorar being paid to the artist is being paid out of the pocket of PAKK Collective/Flemming Valmundsson, who is also the one who applied for AMD on the artist's behalf (as he is a foreign resident).   The Fondsbevillinger are from 2 grants, Goethe Institute in Germany (for the artist's stay during the international workshop and related costs), and AMD (for the international travel) . Goethe wills 730 EUR (ca. 5400 DKK) and AMD 5200 DKK.  To simplify and separate numbers in the different cases, the ""Samlet honorar"" now only includes the honorar to the artist in question, MICHAELBRAILEY. In the application, this number included the honorar being paid to the performing artists, PAKK Collective, as well. This change will explain the huge change, from the original application, in that budget line.  ";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0174";"A-2023-0174-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"The project, and the budget numbers related to it (especially the Fondsbevillinger), spans two separate concerts. One of them in Denmark, the other in Iceland. The huge overskud apparent in the budget in your form above this text box stems from the fact that I declare all of the income we received in the project, not only the amount(s) that relate to the concert which took place abroad. If I were to do so, that would mean some overly complex calculations and divisions of what costs pertained to which concert, and how to split the costs of the workload between the two concerts. For transparency's sake, I lay it all up here, in this way.  This is probably suboptimal and unclear for your books. If it is, then please contact me and we will find a way to make my squiggly piece fit into your puzzle.";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0177";"A-2023-0177-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pga. af anden koncert i Oslo, blev afrejsen derfra til Sverige, og ikke fra Aarhus. Det samme gjaldt hjemrejsen, hvor jeg skulle til København og ikke Aarhus. Alle kvitteringer der er vedhæftet er i norske kroner, dog gjort om til DKK i regnskabet.  ";"I høj grad";"I høj grad";"I meget høj grad"
"A-2023-0182";"A-2023-0182-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0185";"A-2023-0185-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger: - Spillestedet Alice (15.000 bevilget) - Statens Kunstfond (70.000 bevilget) - Københavns Kommunes Musikudvalg (25.000 bevilget) - Østerbro Lokaludvalg (16.000 bevilget)  Andet (indtægter): Barindtægter  Andet (udgifter): Opbygning, installationer, leje af lyd og lys, billeje, diverse, venue, VJs m.m.";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0188";"A-2023-0188-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I meget høj grad"
"A-2023-0190";"A-2023-0190-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Da projektet p.g.a. krigen i Gaza blev udskudt et halvt år, blev rejseudgifterne større, da der var et ombookingsgebyr på kr. 607,- samt udgifter til indenrigsflyvning fra Aalborg til København (jeg bor i Aalborg) på kr. 1867,-. De samlede rejseudgifter løb således op i 7029,-";"I meget høj grad";"I meget høj grad";"I mindre grad"
"A-2023-0191";"A-2023-0191-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Workshoppen i Sandnes blev flyttet til zoom pga sygdom og jeg reiste derfor ikke til Stavanger. Til gjengjeld har jeg i mellem ansøgningstidspunkt og bevilgning flyttet til USA, og derfor har jeg likevel højere rejseudgifter enn estimert. ";"Ved ikke";"I høj grad";"I høj grad"
"A-2023-0194";"A-2023-0194-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I sidste ende lykkedes det ikke vores booker at skaffe flere koncerter i forlængelse af showcasen i Berlin d. 8. november. I stedet brugte vi dagene omkring koncerten på at afholde netværksmøder med vores pladeselskab, forlag og agent.";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0196";"A-2023-0196-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Only Art Music Denmark grant has been granted. Other sources haven´t granted the applied for financing, thus the spending was cut to the minimum necessary tasks on agreement with all involved participants, while completing the project for the audience in its full, originaly planned form. International transport costs don´t account for vehicle ammortization and maintenance, which is included in the state-sanctioned per/km formula, the real cost of transport therefore accounts in minimum to the amount granted by Art Music Denmark.";"I mindre grad";"I høj grad";"I høj grad"
"A-2023-0200";"A-2023-0200-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsindtægter:   Statens Kunstfond - festival: 70.000 Statens Kunstfond - international besøgsprogram: 30.000 Nordic Culture Point: 250.500 Det Obelske Familiefond: 100.000 Augustinus Fond: 75.000 William Demant: 50.000 KODA: 35.000 Sonning: 25.000 FRB Musikudvalg: 20.000 Louis-Hansens: 20.000 Nørrebro Lokaludvalg: 15.000 Transportstøtte (til Andreas Borregaard og Jessie Marino): 3200 Solistforeningen af 1921: 5000 DKDM: 10500 AMD Transportstøtte (denne ansøgning): 13895 Neustart: 5000 Øvrige:  Andreas Borregaard co-bestilling: 15.000 Billetsalg: 38550  Udgifter (andet): Venues: 123.465 Produktion, design, dokumentation, afvikling, tekniker, administrativ lønninger m.m.: 285.495 Revision: 10875     ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0203";"A-2023-0203-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Augustinus, Koda Kultur, Det opelske fond, Statens Kunstfond";"I meget høj grad";"I meget høj grad";"I mindre grad"
