"j_nr";"participant_group_id";"participant_gender_group";"participant_age_under18";"participant_age_18_24";"participant_age_25_29";"participant_age_30_39";"participant_age_40_49";"participant_age_50_59";"participant_age_60_over"
"A-2023-0193";"A-2023-0193-PG1";"Mænd";0;0;0;5;1;1;0
"A-2023-0193";"A-2023-0193-PG2";"Kvinder";0;0;3;2;1;1;0
"A-2023-0194";"A-2023-0194-PG1";"Kvinder";0;0;0;3;0;0;0
"A-2023-0195";"A-2023-0195-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0195";"A-2023-0195-PG2";"Mænd";0;2;0;3;0;8;2
"A-2023-0195";"A-2023-0195-PG3";"Kvinder";0;0;0;10;2;1;2
"A-2023-0196";"A-2023-0196-PG1";"Mænd";0;0;1;1;0;0;0
"A-2023-0196";"A-2023-0196-PG2";"Kvinder";0;0;1;0;0;0;0
"A-2023-0197";"A-2023-0197-PG1";"Kvinder";0;0;0;0;1;0;0
"A-2023-0198";"A-2023-0198-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0199";"A-2023-0199-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0199";"A-2023-0199-PG2";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0200";"A-2023-0200-PG1";"Non-binær";0;0;2;3;0;0;0
"A-2023-0200";"A-2023-0200-PG2";"Mænd";0;1;1;0;0;0;0
"A-2023-0200";"A-2023-0200-PG3";"Kvinder";0;1;1;0;0;0;0
"A-2023-0201";"A-2023-0201-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0202";"A-2023-0202-PG1";"Mænd";0;0;0;0;0;0;1
"A-2023-0202";"A-2023-0202-PG2";"Non-binær";0;0;0;0;1;0;1
"A-2023-0203";"A-2023-0203-PG1";"Ønsker ikke at besvare";0;0;7;0;0;0;0
"A-2023-0203";"A-2023-0203-PG2";"Mænd";0;0;0;12;0;0;0
"A-2023-0203";"A-2023-0203-PG3";"Kvinder";0;0;0;9;0;0;0
"A-2023-0205";"A-2023-0205-PG1";"Kvinder";0;0;0;0;0;1;0
"A-2023-0206";"A-2023-0206-PG1";"Mænd";0;0;0;5;2;0;0
"A-2023-0207";"A-2023-0207-PG1";"Mænd";0;0;0;5;2;0;0
"A-2023-0208";"A-2023-0208-PG1";"Mænd";0;0;0;2;0;0;0
